MovieName,ReleaseYear,ImdbRating,Metascore,Votes
Watchmen,(2009),7.6,,460196
Friday the 13th,(2009),5.5,,90382
The Hangover,(2009),7.7,73.0,677721
Avatar,(2009),7.8,83.0,1058421
Zombieland,(2009),7.6,73.0,468363
Star Trek,(2009),7.9,82.0,559717
The Blind Side,(2009),7.6,,270997
X-Men Origins: Wolverine,(2009),6.6,,443235
My Sister's Keeper,(2009),7.4,,85686
Harry Potter and the Half-Blood Prince,(2009),7.6,78.0,426070
Jennifer's Body,(2009),5.2,,107476
The Princess and the Frog,(2009),7.1,73.0,112121
Sherlock Holmes,(2009),7.6,,553972
3 Idiots,(2009),8.4,67.0,306878
The Taking of Pelham 123,(2009),6.4,,175432
Law Abiding Citizen,(2009),7.4,,255903
2012,(I) (2009),5.8,,331789
Up,(2009),8.2,88.0,860746
Splice,(2009),5.7,66.0,88697
Up in the Air,(I) (2009),7.4,83.0,303468
District 9,(2009),7.9,81.0,609834
Coraline,(2009),7.7,80.0,180716
The Boat That Rocked,(2009),7.4,,103147
Case 39,(2009),6.2,,72634
He's Just Not That Into You,(2009),6.4,,151176
Terminator Salvation,(2009),6.5,,324178
Angels & Demons,(2009),6.7,,255936
(500) Days of Summer,(2009),7.7,76.0,446020
In the Loop,(2009),7.4,83.0,51611
Fast & Furious,(2009),6.6,,246243
Monsters vs. Aliens,(2009),6.5,,137702
Daybreakers,(2009),6.4,,117606
The Lovely Bones,(2009),6.7,,147189
Antichrist,(2009),6.6,,108106
Män som hatar kvinnor,(2009),7.8,76.0,199610
Drag Me to Hell,(2009),6.5,83.0,178721
Moon,(2009),7.9,67.0,315274
The Proposal,(I) (2009),6.7,,276183
Kynodontas,(2009),7.3,73.0,70678
Mr. Nobody,(2009),7.8,63.0,200246
El secreto de sus ojos,(2009),8.2,80.0,175685
G.I. Joe: The Rise of Cobra,(2009),5.8,,192256
The Ugly Truth,(2009),6.4,,192315
Brothers,(I) (2009),7.1,,104395
Knowing,(2009),6.2,,210493
Enter the Void,(2009),7.3,69.0,62600
The Soloist,(2009),6.7,61.0,49260
Orphan,(2009),6.9,,177769
The Imaginarium of Doctor Parnassus,(2009),6.8,65.0,139491
Inception,(2010),8.8,74.0,1871982
Shutter Island,(2010),8.1,63.0,1024456
Scott Pilgrim vs. the World,(2010),7.5,69.0,344417
Black Swan,(2010),8.0,79.0,656764
Clash of the Titans,(2010),5.8,,259085
The Losers,(I) (2010),6.3,,85515
Harry Potter and the Deathly Hallows: Part 1,(2010),7.7,65.0,433061
The Book of Eli,(2010),6.9,,275412
True Grit,(2010),7.6,80.0,288058
The Social Network,(2010),7.7,95.0,575447
The Town,(2010),7.5,74.0,326472
The King's Speech,(2010),8.0,88.0,600295
Kick-Ass,(2010),7.6,66.0,502045
Srpski film,(2010),5.1,,52295
Insidious,(I) (2010),6.8,,258460
Jonah Hex,(2010),4.7,,52458
Iron Man 2,(2010),7.0,,670705
Toy Story 3,(2010),8.3,92.0,699320
Tron,(2010),6.8,,298807
Tangled,(2010),7.7,71.0,372481
Grown Ups,(I) (2010),5.9,,213791
The Other Guys,(2010),6.6,64.0,224697
Blue Valentine,(2010),7.4,81.0,172158
Alice in Wonderland,(I) (2010),6.4,,362617
A Nightmare on Elm Street,(2010),5.2,,86478
Robin Hood,(2010),6.6,,241598
Eat Pray Love,(2010),5.8,,79104
Remember Me,(I) (2010),7.1,,130695
127 Hours,(2010),7.6,82.0,327865
Easy A,(2010),7.1,72.0,334823
Due Date,(2010),6.5,,306846
It's Kind of a Funny Story,(2010),7.1,63.0,127103
RED,(2010),7.0,,274008
Prince of Persia: The Sands of Time,(2010),6.6,,258076
Percy Jackson & the Olympians: The Lightning Thief,(2010),5.9,,166985
Hot Tub Time Machine,(2010),6.4,63.0,155279
Incendies,(2010),8.3,80.0,127292
Burlesque,(I) (2010),6.4,,71974
The Next Three Days,(2010),7.4,,170373
Habitación en Roma,(2010),6.1,,20756
I Spit on Your Grave,(2010),6.3,,69628
How to Train Your Dragon,(2010),8.1,74.0,620000
The Fighter,(I) (2010),7.8,79.0,319639
Love & Other Drugs,(2010),6.7,,169702
The Last Airbender,(2010),4.1,,139140
I'm Still Here,(I) (2010),6.2,,18860
Megamind,(2010),7.2,63.0,211312
The Expendables,(2010),6.5,,310801
The Twilight Saga: Eclipse,(2010),5.0,,214071
The A-Team,(2010),6.7,,237247
Harry Potter and the Deathly Hallows: Part 2,(2011),8.1,87.0,702092
The Girl with the Dragon Tattoo,(2011),7.8,71.0,392216
X: First Class,(2011),7.7,65.0,616997
The Help,(2011),8.1,62.0,397626
Captain America: The First Avenger,(2011),6.9,66.0,682167
The Cabin in the Woods,(2011),7.0,72.0,343930
Drive,(I) (2011),7.8,78.0,528542
Thor,(2011),7.0,,696109
The Lincoln Lawyer,(2011),7.3,63.0,198114
Footloose,(2011),5.9,,43771
In Time,(2011),6.7,,349547
Sucker Punch,(2011),6.0,,220050
Pirates of the Caribbean: On Stranger Tides,(2011),6.6,,452946
Just Go with It,(2011),6.4,,204945
Bridesmaids,(I) (2011),6.8,75.0,252506
The Intouchables,(2011),8.5,,689886
"Crazy, Stupid, Love.",(2011),7.4,68.0,441449
Moneyball,(2011),7.6,87.0,331449
Tinker Tailor Soldier Spy,(2011),7.1,85.0,176484
Warrior,(2011),8.2,71.0,408127
Midnight in Paris,(2011),7.7,81.0,360917
Cowboys & Aliens,(2011),6.0,,197594
Contagion,(2011),6.6,70.0,203132
No Strings Attached,(I) (2011),6.2,,200020
Margin Call,(2011),7.1,76.0,108384
Limitless,(I) (2011),7.4,,497966
Mission: Impossible - Ghost Protocol,(2011),7.4,73.0,432950
The Tree of Life,(2011),6.8,85.0,157839
Scream 4,(2011),6.1,,120044
The Hangover Part II,(2011),6.4,,437761
Hugo,(2011),7.5,83.0,287341
The Ides of March,(2011),7.1,67.0,208501
I Am Number Four,(2011),6.1,,219489
Shame,(2011),7.2,72.0,172991
Sleeping Beauty,(2011),5.2,,29556
The Three Musketeers,(2011),5.7,,99110
Green Lantern,(2011),5.5,,254450
The Adjustment Bureau,(2011),7.0,,230139
Melancholia,(2011),7.1,80.0,155364
Hanna,(2011),6.8,65.0,180571
Immortals,(2011),6.0,,154173
Sherlock Holmes: A Game of Shadows,(2011),7.5,,398206
Friends with Benefits,(2011),6.5,63.0,320836
Source Code,(2011),7.5,74.0,457296
Super 8,(2011),7.0,72.0,322759
Fast Five,(2011),7.3,66.0,334129
The Twilight Saga: Breaking Dawn - Part 1,(2011),4.9,,210624
Colombiana,(2011),6.4,,88575
Bad Teacher,(2011),5.6,,183047
Horrible Bosses,(2011),6.9,,402355
Django Unchained,(2012),8.4,81.0,1235367
The Dark Knight Rises,(2012),8.4,78.0,1406547
The Avengers,(2012),8.0,69.0,1199067
The Hunger Games,(2012),7.2,68.0,802583
Zero Dark Thirty,(2012),7.4,95.0,254192
Pitch Perfect,(2012),7.2,66.0,259826
Cloud Atlas,(2012),7.4,,329288
The Hobbit: An Unexpected Journey,(2012),7.8,,725167
The Master,(2012),7.2,86.0,134112
Les Misérables,(2012),7.6,63.0,289230
John Carter,(2012),6.6,,244086
Flight,(I) (2012),7.3,76.0,306509
Men in Black 3,(2012),6.8,,315907
Lo imposible,(2012),7.6,73.0,181066
The Twilight Saga: Breaking Dawn - Part 2,(2012),5.5,,217436
Spring Breakers,(2012),5.3,63.0,128136
Prometheus,(I) (2012),7.0,64.0,543403
21 Jump Street,(2012),7.2,69.0,483097
Looper,(2012),7.4,84.0,505873
Silver Linings Playbook,(2012),7.7,81.0,626574
Skyfall,(2012),7.7,81.0,597248
Sinister,(I) (2012),6.8,,201609
